                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5205,                 1.4954,                 1.0525,                0.41267,                0.31208,                0.29689,                0.16115,                 1.4259,                 1.0528,                 1.0053,             0.00030277,             0.00030277,             0.00030277
                      2,                 1.4419,                 1.0609,                  1.033,                0.49908,                0.32442,                0.33396,                0.18202,                  1.412,                0.97586,                 1.0081,             0.00056579,             0.00056579,             0.00056579
                      3,                 1.4278,                 1.0069,                  1.029,                0.48297,                0.35239,                0.35178,                0.18964,                 1.3812,                0.93794,                0.99479,             0.00078881,             0.00078881,             0.00078881
                      4,                 1.4007,                 0.9695,                 1.0207,                0.51033,                0.38018,                0.37803,                0.20562,                 1.3629,                0.90219,                0.98973,             0.00072902,             0.00072902,             0.00072902
                      5,                 1.3783,                0.93781,                 1.0137,                0.53395,                0.38191,                0.39478,                0.21752,                 1.3457,                0.88254,                0.98656,             0.00066902,             0.00066902,             0.00066902
                      6,                 1.3967,                0.92606,                 1.0118,                 0.5432,                 0.3761,                0.39432,                0.21791,                 1.3462,                0.87988,                0.98669,             0.00060903,             0.00060903,             0.00060903
                      7,                 1.3818,                0.90295,                 1.0054,                0.55718,                 0.3983,                0.41832,                0.23046,                 1.3346,                0.85464,                0.98139,             0.00054904,             0.00054904,             0.00054904
                      8,                 1.3709,                0.88636,                 1.0016,                 0.5519,                0.39539,                0.41792,                 0.2331,                 1.3251,                0.84901,                0.97607,             0.00048904,             0.00048904,             0.00048904
                      9,                 1.3568,                0.86919,                0.99525,                0.58557,                0.40478,                0.43021,                0.23936,                 1.3136,                 0.8339,                0.97206,             0.00042905,             0.00042905,             0.00042905
                     10,                 1.3439,                0.85321,                0.99039,                0.59248,                0.41715,                 0.4444,                0.24782,                 1.3027,                0.81839,                 0.9675,             0.00036905,             0.00036905,             0.00036905
                     11,                  1.332,                0.84031,                0.98762,                0.59919,                0.42947,                0.45487,                0.25481,                 1.2935,                0.80834,                0.96479,             0.00030906,             0.00030906,             0.00030906
                     12,                 1.3204,                0.82495,                0.98217,                0.61308,                0.42705,                0.45992,                0.26013,                 1.2894,                0.80045,                0.96388,             0.00024907,             0.00024907,             0.00024907
                     13,                 1.3104,                0.81131,                0.97876,                0.61056,                0.42847,                0.46484,                0.26249,                 1.2808,                0.79035,                 0.9609,             0.00018907,             0.00018907,             0.00018907
                     14,                 1.2979,                0.79818,                  0.974,                0.62187,                0.42919,                0.47064,                0.26669,                 1.2737,                0.78179,                0.95817,             0.00012908,             0.00012908,             0.00012908
                     15,                 1.2901,                0.78818,                 0.9713,                 0.6173,                0.43794,                0.47351,                 0.2689,                 1.2717,                0.77942,                 0.9569,             6.9084e-05,             6.9084e-05,             6.9084e-05
